label,angry,bored,disgust,happy,sad,shy,stressed,surprised
shy,0.00,0.00,0.00,0.01,0.00,0.98,0.00,0.00
shy,0.00,0.00,0.00,0.00,0.00,0.99,0.00,0.00
shy,0.00,0.00,0.00,0.01,0.00,0.99,0.00,0.00
shy,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
shy,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
shy,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
shy,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
shy,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
shy,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
shy,0.00,0.00,0.00,0.00,0.00,0.98,0.01,0.00
shy,0.00,0.02,0.00,0.01,0.00,0.87,0.03,0.07
shy,0.00,0.01,0.00,0.01,0.00,0.81,0.06,0.12
surprised,0.00,0.09,0.00,0.02,0.00,0.01,0.00,0.88
surprised,0.00,0.06,0.00,0.05,0.01,0.14,0.03,0.71
shy,0.00,0.00,0.00,0.01,0.00,0.98,0.01,0.00
shy,0.01,0.00,0.00,0.01,0.00,0.97,0.01,0.00
shy,0.02,0.00,0.00,0.02,0.00,0.95,0.01,0.00
shy,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
shy,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
shy,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
shy,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
happy,0.00,0.00,0.03,0.69,0.11,0.17,0.00,0.00
sad,0.00,0.00,0.04,0.02,0.92,0.02,0.00,0.00
sad,0.00,0.00,0.08,0.03,0.83,0.05,0.00,0.01
sad,0.00,0.00,0.00,0.00,0.92,0.07,0.00,0.00
sad,0.00,0.00,0.00,0.00,0.75,0.25,0.00,0.00
sad,0.00,0.00,0.00,0.00,0.71,0.29,0.00,0.00
sad,0.00,0.00,0.00,0.00,0.62,0.38,0.00,0.00
sad,0.00,0.00,0.00,0.00,0.99,0.01,0.00,0.00
sad,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
sad,0.00,0.00,0.00,0.01,0.99,0.00,0.00,0.00
sad,0.00,0.00,0.00,0.03,0.97,0.00,0.00,0.00
sad,0.00,0.00,0.00,0.37,0.63,0.00,0.00,0.00
sad,0.00,0.00,0.00,0.05,0.84,0.04,0.00,0.07
shy,0.00,0.00,0.00,0.00,0.33,0.67,0.00,0.00
shy,0.00,0.00,0.00,0.00,0.33,0.67,0.00,0.00
shy,0.00,0.00,0.00,0.01,0.40,0.60,0.00,0.00
shy,0.00,0.00,0.00,0.00,0.42,0.58,0.00,0.00
shy,0.00,0.00,0.00,0.00,0.05,0.95,0.00,0.00
shy,0.00,0.00,0.00,0.00,0.17,0.83,0.00,0.00
shy,0.00,0.00,0.00,0.00,0.04,0.96,0.00,0.00
shy,0.00,0.00,0.00,0.00,0.16,0.84,0.00,0.00
sad,0.00,0.00,0.01,0.03,0.60,0.36,0.00,0.00
sad,0.01,0.00,0.00,0.08,0.50,0.40,0.01,0.00
sad,0.00,0.00,0.00,0.11,0.64,0.24,0.00,0.00
shy,0.01,0.00,0.00,0.02,0.44,0.52,0.00,0.01
shy,0.01,0.00,0.00,0.01,0.31,0.66,0.00,0.01
shy,0.01,0.00,0.00,0.00,0.31,0.66,0.00,0.00
shy,0.01,0.00,0.00,0.00,0.18,0.80,0.00,0.00
shy,0.02,0.00,0.00,0.00,0.13,0.85,0.00,0.00
shy,0.01,0.00,0.00,0.00,0.20,0.79,0.00,0.00
shy,0.00,0.00,0.00,0.00,0.17,0.83,0.00,0.00
shy,0.00,0.00,0.00,0.00,0.15,0.85,0.00,0.00
shy,0.00,0.00,0.00,0.00,0.21,0.79,0.00,0.00
sad,0.00,0.00,0.00,0.25,0.50,0.24,0.00,0.00
sad,0.00,0.00,0.00,0.28,0.47,0.25,0.00,0.00
happy,0.00,0.00,0.00,0.36,0.35,0.29,0.00,0.00
happy,0.00,0.00,0.00,0.40,0.30,0.30,0.00,0.00
sad,0.00,0.00,0.00,0.31,0.47,0.22,0.00,0.00
happy,0.00,0.00,0.00,0.35,0.33,0.32,0.00,0.00
sad,0.00,0.00,0.00,0.32,0.41,0.27,0.00,0.00
sad,0.00,0.00,0.00,0.28,0.44,0.29,0.00,0.00
sad,0.00,0.00,0.00,0.25,0.46,0.29,0.00,0.00
sad,0.00,0.00,0.00,0.32,0.37,0.31,0.00,0.00
sad,0.00,0.00,0.00,0.26,0.40,0.34,0.00,0.00
sad,0.00,0.00,0.00,0.28,0.45,0.27,0.00,0.00
sad,0.00,0.00,0.00,0.25,0.51,0.24,0.00,0.00
sad,0.00,0.00,0.00,0.28,0.48,0.24,0.00,0.00
sad,0.00,0.00,0.00,0.26,0.51,0.24,0.00,0.00
